8279FB4C|End download
8566509E|Search as HEX
7CB022EA|Search as text
FBF592D0|Content Value
6781324B|Double click of item - for show on main tree view
E9E81D06|label1
C15430C6|Type
68CA2EB8|Offset in asset
C1235660|statusStrip1
8A82AD3D|Status
B1C0F49C|Search form
33783E79|Only for export to Unity 2018.3 or higher.
F7876C10|Partial recovery of scripts is available only with the 'Allow delayed extraction of scripts'.
DBEA7DF9| make plugin (.dll)
D5593A86|as plugin (.dll)
887C750E|AnonymousMethods
1493CEDC|YieldReturn
35EF1F72|SwitchStatementOnString
32608958|AutomaticEvents
5C51074C|AutomaticProperties
FEBFDC9F|ExpressionTrees
6379F9F6|FullyQualifyAmbiguousTypeNames
77F2689E|MakeAssignmentExpressions
58BF2214|ObjectOrCollectionInitializers
8D02C30E|QueryExpressions
839DD608|UsingDeclarations
12B10B0E|Script decompilation options
22FE82C1|CompillerTypeGenerated_Clear
B2DB3813|Decompiler type
2A11D566|Scene params
6DBC0660|Allow restore shaders (base mode, without convert to ShaderLab format)
A44EA654|Export multi sprite texture as separate sprite files
61A5FC0F|Allow async export
33C19C13|Make all GameObjects as Active (override)
E3E1083F|Make direct MeshAsset (else Mesh by .obj file)
8391C557|Unity Project Version
47ABCD61|Unity 2019.1
5E77CD61|Unity 2017.3
E54C2A1D|Unity 5.6
D30FCD61|Unity 2018.2
5E74CD61|Unity 2018.3
8E91B592|Scripts
5DCF7336|multiSelectTreeView21
61854DA3|Reset
2F21ADEB|Set as Script assembly (.cs)
92AE6425|Set as Plugin (.dll)
5A6F5B4B|Exclude from project
B74012B|Mark class to decompilation (.cs)
3EB9EA0E|Remove from decompilation scripts
E793FA33|toolStrip1
72D1D23C|As Scripts (.cs)
ABEBBC76|As Plugin (.dll)
DC7D92E8|Exclude
6675DB7B|Class to script
CD00C64F|Remove from decompilation
A6BADEC6|Filter by class name:
3C84C921|Remove script class (for exported to .cs) from plugin
AC7A600E|Allow delayed extraction of scripts
9FB6408|Script options
917298B4|Disable header information for scripts (header on .cs files)
318C6B1|Project options
552C00E0|Disable append bundle path to asset
25994BBC|Script Generate Options
E5DF7E8E|ShaderLab:
51C5892D|Raw Shader:
BF5602BE|Built in shaders:
F1530067|Override Unity version:
3E7B1101|Script generate options
4FB6A357|Shader export options
73BCEF86|Shader list
66362547|Restore with convert to Unity ShaderLab
FF7A2271|Restore shader as RAW (manual fix required)"
603A15AE|Replace with Unity build-in shaders
C89F8095|Use right click on tree for change export type:
CA9970E1|Filter by shader name:
DC51D6F6|Shader options
C04AE030|Restore shader as Unity ShaderLab format (for GameRecovery license type)
258C1109|Restore shaders as raw (with out convert, nead manualy correct, manual fix required)
ACAB3B24|This option enables automatic conversion of compiled shaders to Unity format (ShaderLab)
ED451D14|Unity project generate options
E8040B32|Built in shaders (recommendation):
FA29FA5A|Built in shaders (fixed):
BF44FF53|Begin request...
414DA863|License not activated! Subscription available only with license!
C0ED97BD|You do not have a subscription to access to the Games database.
967F7E1C|Begin download game information...
F4D99EC6|Subscription payment
8B7CAF2B|Subscription expiration:
E73E3DC0|Only .NET Assembly
7AE55A1F|Only IL2CPP
719FEDCB|AppId
6482F24|Category
4D421FF8|Company
69B53BEE|Engine version
E47EA598|Engine type
CA53AB27|Free access
7D2BB440|Platform type
24D7A31|Platform
A0A26736|Engine
9EB80D01|Game version
2F7D1404|Preview size
488DA813|Game size
1EDFB100|Hide item
6A513C5A|Set free acess
B290854D|Всего 0
B6F6F5A2|Download and open game (WebGL, OSGJS)
27781B61|Open game structure preview
74261900|Open game web page
C3DA8DBE|Descriptions
81A21328|Game database search form (Full access by subscription)
B3823311|Error on download gameInfo
7FE70CA|erro on download
BB185879|Double click of item - for apply select
92659EB5|FullName
C408A146|Select object
35996432|Export format
A1D6A433|Options
FA6DBF53|Export models
32DC01C9|ASCII
8E0E4D56|Binary
7FA8B4A|Export animations
663535DC|Export textures
5AFAA65F|FbxExportSettings
76594D8C|Cancel
609D9308|PropertyDialog
C0FCE739|License - not valid!
20200A26|License - valid.
8E8D7F8A|Activation - ok
F62685F2|Not activated!
5A5C9760|License key:
7E90661A|License State
7F76DDFF|License Number
B47EABE4|Activate license..
D8BFF820|Open buy page
122A693A|License Information
B3B7CD64|Proxy connection
10161BED|Proxy address:
158D4A0|port:
2C1C7F9C|User:
D086BA55|Password:
42142F52|Proxy Authentication
13DCA69B|Proxy settings
69446BC7|Make temp key...
D39D81F1|Open binary file
82675C19|Binary Analyzer Tools
66A43E3|DevXC Control
E796FA33|toolStrip2
FD95CA52|Position
CDEBB7D9|Go
504C0A1B|Save selection
B053182|Save to HEX dump
60434EC8|Line:
3B7EA7FB|Col:
A95D268A|Open binary analyzer
103B800A|Parce rules: 
62D0EDB8|Apply
5CCEF1D3|Open rules file
59FF7043|Auto apply
8553A117|Result:
CFB24BA9|Save result
48A4BF19|Show offset
E9EB1D06|label2
8C8488C|Save rules
2FD0C111| sec
8F41696B|DevXC code: 
5730F05E|Execute
E8CCC172|Open
C098D69A|Save code
D05AA806|Help
47830FDC|Execute time:
E795FA33|toolStrip3
88B16616|Help:
F2FCDCF2|Functions
C9F7545|Examples
2C3E7114|License for  'GameRecovery' not activated!
E48E0C23|License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' or 'GameRecovery' not activated!
F69FEAA9|Item not support export
53B9408B|You can save with conversion no more than once every two minutes.
A6E20CE7|Object - not supported replace
DC930C23|License for 'RePacker Tools' or 'Android Unpacker' or 'Unpacker Studio' or 'GameRecovery' not activated
FCB08D72|The file extension must match
8726FB75|Not supported for this asset type
E005EA6|Only available for 'DevX-GameRecovery' or 'DevX-GameModing' license type.
BCFB679A|Not support for add child component.
FCD072D|Selected items are not supported for copying.
A86A2FA1|Not selected asset to copy (Copy asset)
3A35DCF0|Not selected owner asset to create GameObjext
528FF6F|License for  'Unpacker Studio' or 'GameRecovery' not activated!
46A8422F|An error occurred while connecting to the server,\r\nplease check the network status and website availability of devxdevelopment.com\r\nand try again later.
2627AE0E|License for 'Unpacker tools' or 'Android Unpacker' or 'RePacker Tools' or 'Unpacker Studio' or 'GameRecovery' not activated!
4F91DB58|License for 'Android Unpacker' or 'RePacker Tools' or 'Unpacker Studio' or 'GameRecovery' not activated!
7EA6BE1C|License for 'Unpacker Studio' or 'GameRecovery' not activated!
2D5ED39F|Unsupported format
5F0013FA|Exported to 
77F9CD7A|Wait... Extract audio..
4F70EAA5|Project protected by
68C81170|Dont select MeshAsset
8ECD3E7F|License for  'Unpacker Tools' or 'Repacker Tools' or 'Unpacker Studio' or 'GameRecovery' not activated!
82955BC5|Dont select GameObject!
45794F93|License for 'RePacker Tools' or 'Game Modding' or 'Unpacker Studio' not activated!
5D8CF4D3|Assets Bundle\n
1B77120F|Items: \n
9CE9AD2|License for 'RePacker Tools' or 'Game Modding' or 'Android Unpacker' or 'Unpacker Studio' or 'GameRecovery' not activated!
D94ABDBB|For save changes to assets: press to button 'Apply changes'
5692BD89| Ver 9.20
3D13DA7E| (Internal!)
A7373E98|The version is obsolete. Need to install a new version.
5D8EC00D|Wait... Check internet connection.. https://devxdevelopment.com...
304FB581| DEMO-CONSOLE!
6A0B8062|Is Demo Version
C9AC09B3|License for 'Unpacker tools' or 'RePacker Tools' or 'Game Modding' or 'Unpacker Studio' or 'Android Unpacker' not activated!
5982281C|Saving is possible 1 time in 2 minutes
48235494|License for 'Unpacker Studio' not activated!
1E1E6D12|Dont select header edit item
4C885660|statusStrip2
B20B46F5|Metadata
BD211979|Save class metadata
493E5DB5|Save packed version metadata
683E353A|Save metadata from packed
9C362A73|Join and save all assets metadata
B533CB05|Optimize Metadata for file
B788894D|Load custom metadatas
CCC044AA|Export as Unitypackage
40A14DE6|Export as multiple Unitypackage (separate files)
DA624C1A|Export as ZIP archive
8E1C48B9|Export as Prefab
EC5ADA02|Export model as FBX
EF96D912|Make node dump
EA33944D|Save asset header
67E5E759|Save content (without contertaion)
A4A40923|Export content (with convert format: png, wav, etc)
762B577F|Export all Sprites (for Texture2D)
10A45610|Replace binary content (binary, png, wav, etc)
70569210|Find All references
5AD1691E|Add new asset
DD4E575F|Add GameObject
18F6772D|Dublicate asset
5BDBD338|Copy asset
315A3F47|Paste asset
934F5427|Add child asset with dublicate by selection dialog
C0E8BD20|Delete asset
186DAFB|Interesting..
6261EC56|Drag the game here and I'll show what's inside)
459BD839|Back
EDB18BE4|Next
7345665F|Generate Unity Project
978ECC6B|Export resources to directory
CD938811|Generate Project Scripts
5CE1E87B|Export All Prefabs
17CFD8E7|Common
74488F59|Test\n123\n456
E4B7253C|Save descriptions to file
9E201F6A|Text/Script
241B8D1F|label21
E9941DE0|Save as Text
556F5284|Replace text
C9B78102|Edit and replace text
96C15990|Shader UnityLab
8AB288BF|toolStrip11
30EBACDF|Image
E799FA33|toolStrip7
1ED72F4B|Information:
330840A0|w,h,format
E798FA33|toolStrip4
556AB41B|Save all Sprites
640C3205|Save as PNG
EFD46E44|Replace image
8A15B0DF|Background:
C8DCF0B7|Chessboard
74D407C9|White
5EA0AB2E|Black
33A355B7|Without alpha channel
815D0B84|3DView
E80B1424|toolStrip10
C96FB87E|Export as OBJ
56DB8833|Export as FBX
D9E066FF|Export as Asset
A658D7B5|Reset camera
FC75575A|3DScene
E78BFA33|toolStrip9
2062516|Export as ".Unitypackage"
E72DC67C|Export model as ".FBX"
2F8CE20D|Export as ".Prefab"
E5F5704E|Making 3D scene
47368B19|Making 3D scene (without materials)
E97FBB80|Stop of process
D5FE0A41|Clear scene
DE92FEBE|Reset of camera
36ACA52A|Audio clip
C6C301BA|label22
7297E26F|Save as (wav, mp3,ogg)
DCCE8FE0|Save as FSB5
6F3BD173|Play sound
901BBCBB|Stop play
74EE86CF|Replace sound
C5C117C1|Hex RAW
E81B912E|Font
5BD15A12|Font test
C9529C11|Asset header edit
D03C6679|Value
F9E93EC|Length (bytes)
E78CFA33|toolStrip8
63A72C9|Edit selected
A2DFCB1B|Save selected item to file
9F42A9B5|Replace selected value from file
69A27794|Paste link to asset
334BAC85|Clear item
4C18336D|Assembly code strings
18B1C08E|Method
CA64270|Destanation method
E79AFA33|toolStrip6
5F768801|Value Filter:
C6CB611E|Method name filter:
3614E1B1|Save assembly
621D673|Errors
89FABD5F|Errors:
A8ABCCA2|Support
5247A0E3|Implementation..
6799EC0E|Support formats:
2550695|APK (apk, obb, xapk)
8D3C4B5D|Bundles (.unity3d and other)
49A132CF|Standalone (WIN, MAC, LINUX)
57715F4E|iOS Package (.ipa)
E125F64C|Asset files
5BF6015A|WebGL (.unityweb)
A41EC297|Unreal Engine PAK
BF46BB11|Unreal Engine Assets
10D3DAFD|Export:
C92A6C39|Export Texture2D (png, pvr, dds)
D0AF9C82|Export Sprites (png)
ED6D8610|Export AudioClip (Sounds to .wav)
5E55F0D5|Export Mesh (OBJ with sub-mesh, FBX)
271564|Export Scene elements (to FBX, Prefab)
30E504CE|Export Video (avi, mp4,..)
73023AC|Export Text assets
B566829D|Export Fonts
FE03C056|Export Shader (for text shader mode)
C7D86831|Export/Create Prefab
5FDE59E4|Export Terrain Height-Map
92CE21B2|Replace resources for assets:
153A07F6|Edit Text
6C4F95C0|Edit Header Values
B1C89874|Replace Images (with encoding)
9E0953D9|Binary replace for any resources
895E5C94|Generate Unity Project:
1F806B85|Make APK (with signature)
FBA2997F|Repack Bundles (.unity3d)
10E73E5E|Generate Scripts (C#) 
B0986638|Generate Scripts (simple) for Android IL2CPP  (C#) 
F285DD5B|Generate Scenes (.unity Levels)
A0EB3B42|Generate Prefab (.prefab)
CDBEEABB|Generate Unitypackage (.unitypackage)
51C70D81|Generate animated model (to .unitypackage)
A687CC7B|GameObject Transform RectTransform  \r\nMonoBehavior Renderer MeshRenderer \r\nMeshFilter MeshCollider Canvas \r\nCameraAsset AudioListener AudioSources \r\nColliders Animator and other
E4D924E4|Generate Materials
DB04E9E7|Generate Texture2D
BBC14F43|Generate Sprite
401C619C|Generate AnimationClip\r\n
5CAEA085|Generate Humanoid Animations
7333871E|Generate AnimationController
6A08CA37|Generate Mesh Asset
A96CE37E|Generate AudioClip Asset
A1992D64|Generate PhysicMaterial Asset
2F9B7BDF|Generate PhysicsMaterial2D Asset
88C6C19D|Generate Prefabs
C879083F|Generate Font
23418CF9|Generate VideoClip
60C3C9B2|Generate Text Assets
D3E14E1E|Generate RenderTexture
6EC596F4|Generate ScriptableObject
BF43C65C|Generate GUISkin
E8412D7B|Version Info
13613|Info
A374ECCF|Bundle content
48414E76|Lenght
8EC4DE12|Inspector
84B78E19|PropertyGridToolBar
1AF463E4|File:
788BDC9|Layer:
E7A29BDF|ID:
38AEAAB3|Tag:
F4275D09|toolStripMain
89510D9F|Open Unity3D/Unreal game directory
874EFF8D|Open as APK, OBB, XAPK file (android)
1C183D79|Open as IPA file (iOS)
10E210E5|Open as Bundle (WebPlayer) file
65DA45EF|Open as Unity WebGL file (.unityweb)
98E0C71D|Open as Unity WebGL Game by URL
C7676174|Open as SketchFab.com model by URL
DF86BB4C|Open UnrealEngine uasset
242A89E2|Open UnrealEngine PAK
CDE707F8|Open as Asset file
3B58AB5A|Open as binary
670B26E1|Open DDS Texture
7AC6FE2|DevXC-Scripts
D2A1EE39|Open current action history
3BC20E5B|DevXC Console
B87E468|Open Binary Analyzer tools
D5EB1CC9|Settings
8BEC4529|Disable auto open result files
751996A6|Show fast menu
344B17D9|Disable dialog: For save changes to assets: press 'Apply Changes'
2348A5F1|Wait animation type
3C00B964|Classic
ED2019E9|Girl
238432FB|Proxy Settings
7E1E21E1|APK Sign settings
800542D8|Import settings
C3F188C3|Script generate settings
E8B1C422|Tools
F3CBFFB4|Unpack GZIP
37DF7A42|Unpack Brotli
B723F483|Unpack LZ4
6E844169|Unpack LZMA
C175ED3D|Export
3CCC221F|Export resources to directory (png, wav, avi, obj...)
926D75C7|Export uassets from Unreal Engine PAK
B56CD8D7|Test Assets
A77BEFBB|Repack
AC5DC3F|Apply all changes (repack bundle, make APK, etc)
275F743F|Asset (selected):
CB677E5E|Export resources for Repack
9D9F8CAD|Import resources for Repack
EA40944D|Save asset headers
A93311C9|Save asset binary content
E15679C|FlipY on Replace image
19A5084C|Reset filter
84A32E32|By name:
13CA73A5|Search now
2CEA422E|Cubemap
B0AAD29D|Texture2D
910DB596|Sprites
311CACDF|Images
772A35E8|Sounds
EDB18BEE|Text
BD4F8E8E|Mesh
9BCF0A3F|Script files
EA554C3|Animation Clip
47AFD823|Script
44A02777|GameObject
48BB8036|Prefab
E3C4D931|Animation models
4CD6E253|Primitive models
D3ADAD2D|Shader
8800D7BA|Material
E46F4BDE|Assets only
E3024211|Show tree items id
117086B5|Group resources
B8BBD254|Rows limit:
7AD9B089|Search result:
CC159FF1|Search form..
2C0421D5|Select next:
6D8F369B|Search by id, name
340EC2BB|Debug console
835ACED9|Game Database
808CCA97|UI Language
7F742002|Video lessons
9CE8EF48|Buy and support a project
D302020A|License (registration)
192B54E9|Updates\r\nOpen download web site
411E8062|DevXUnity-Unpacker Magic Tools
29AAA97D|Apply changes - end
2A8CF32F|Play.. 
5AED193|error
EC7EAB33|Connection - not tested
9AD93C02|There is no connection to devxdevelopment.com\nFor the correct operation of the program - you need a network connection.
31FBE153|Connection - ok
5692BD88| Ver 9.21
5692BD87| Ver 9.22
DB3B2FC0|Export as STL
EBF75BC2|IL2CPP-Code
5692BD86| Ver 9.23
F77C0D5C|Project generate settings
5692BD8D| Ver 9.24
5692BD8C| Ver 9.25
5692BD8B| Ver 9.26
FDE81E03| Ver 10.01
CADC13D7|Open on new window
FDE51E03| Ver 10.02
FDE61E03| Ver 10.03
FDE31E03| Ver 10.04
FDE41E03| Ver 10.05
A09AEE74|Waiting.. open
1AAA4AE1|Waiting.. 
FF4D2980|parsing
1ACA4AE1|Waiting..
EB80C700|Decompile libil2cpp.so (IL2CPP) to C# code
F6525294|Waiting.. Recreate all assets..
5472E972|Waiting.. Update all..
CDEFB7E1|Ok
2F15684B|Waiting.. MakePreview..
C4EC7D79|Waiting.. MakePreview-end
AF344CBD|Make asset
DC39D535|Waiting.. make tree structure.. for 
24501B89|Waiting.. make tree structure - ok
594B5358|Waiting.. parsing content...
2B9B294E|Waiting.. make tree...
4E8E089D|Waiting.. Resource manager.. Resources path update, items: 
187801F3|Waiting.. ScriptMapper.. Resources path update, items: 
A75C67B0|Waiting.. AssetBundle.. Resources path update, items: 
A08F9053|Waiting.. m_AssetToPrefab.. items: 
C60B13FD|Waiting.. make tree - end
4F02B678|Export to:
AFBC690B|Export :
574C4B4D|Export error: 
F0F2A2E7|Export make asset:
9878BDA0|Export asset:
F9C1452A|Export ok, count: 
997E9824|Import from:
23FA00C6|Import ok, count: 
9706AC3F|Wait.. Making UnityProject..
F46222AE|Wait.. Making UnityProject.. 
FB976152| export asset: 
A12C3A7B|Wait.. Making Unity Project.. 
E7433FE6|Wait.. Making Unity Project.. Make scripts for 
98C91534|MakeUnityProject - ok
5792227B|Wait.. TestAssets..
EAF2227B|Wait.. TestAssets.. 
50D60E8F|TestAssets - end
EDF536FB|Wait.. Making Prefabs..
5A9536FB|Wait.. Making Prefabs.. 
7415C18D|MakePrefabs - ok
24A9DD5| make asset: 
47F22DBE|Wait.. Making Unitypackage..
42A7B955|Wait.. Export Scripts..
D1DB6975|Unitypackage - ok
20E9686B|Unitypackage - end with error
BD04F926|Make prefab - ok
FF163379|Make prefab - error
995DB01E|Make prefab - break
7223DB42|Wait.. Making Prefab..
F3637C58|Make parfab asset:
44C16C93|Wait.. Generate Scripts..
44A0ECF3|Wait.. Generate scripts.. 
C764262B|Generate Scripts - ok
7DE1C29C|ExportUassetsFromUnrealEnginePAK to:
310513B1|ExportUassetsFromUnrealEnginePAK ok, count: 
9914F0E|Waiting.. Import Asset: 
76314F0E|Waiting.. Import Asset:
183D2F98| - read structure..
312589DC| - init objects ..
AB925A89|Open OK, Items count: 
5AED673|Error
76CA22F1|Waiting... open bundle: 
5D8D673|Error:
9FB1A365|read end
4417A002|APK:
535EE5DE|Waiting.. Open apk begin...
EDD4194A|Waiting.. Open IPA begin...
2C9F6E00|Waiting.. Open Unitypackage begin...
B67182FE|Waiting... open webGL: 
4F8CE226|Impoer Ok:
C7BC26B7|Error on create zip: 
FD528D50|Make zip - end
4E93D81|Wait... Save Bundle
214685F7|Wait... make apk 
A900A8D|Error on create APK: 
23D17C38|Make apk - ok
75CBB8DD|Wait... make obb 
AE0D89A4|Error on create obb: 
75B70BDE|Make obb - ok
3DFC8A9F|Waiting.. Parsing item: 
570BFFCF|Waiting.. Parsing script: 
6475DF5C| - Sometimes the primary decompilation can take several minutes (depends on the size of the assembly)..
D08181D|Waiting.. Parsing asset item: 
C804CEBE|Waiting... open uasset: 
16CA047B|Waiting... open pak: 
4882047|Waiting...  open unity GameDir..
76D2CE09|Open unity GameDir - end
4F34C49E|Run DevXC file - only available for 'DevX-GameRecovery' or 'DevX-GameModing' license type.
417761F0|Run DevXC file - only available for 'DevX-GameRecovery' or 'DevX-GameModing' or 'DevX-MagicStudio' license type.
